Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:24:18.240000,GAS,10,0 days 00:01:30.937000,11.0,1.0,,,0 days 00:00:30.388000,0 days 00:00:24.284000,0 days 00:00:36.265000,0 days 00:23:17.725000,0 days 00:23:42.009000,0 days 00:24:18.274000,266.0,278.0,277.0,280.0,True,ULTRASOFT,10.0,True,Toro Rosso,0 days 00:22:47.303000,2018-03-25 05:28:58.484,1,16.0,False,,False,True
0 days 00:25:48.983000,GAS,10,0 days 00:01:30.743000,12.0,1.0,,,0 days 00:00:30.167000,0 days 00:00:24.367000,0 days 00:00:36.209000,0 days 00:24:48.441000,0 days 00:25:12.808000,0 days 00:25:49.017000,,284.0,278.0,282.0,True,ULTRASOFT,11.0,True,Toro Rosso,0 days 00:24:18.240000,2018-03-25 05:30:29.421,1,16.0,False,,False,True
0 days 00:27:19.632000,GAS,10,0 days 00:01:30.649000,13.0,1.0,,,0 days 00:00:30.141000,0 days 00:00:24.245000,0 days 00:00:36.263000,0 days 00:26:19.158000,0 days 00:26:43.403000,0 days 00:27:19.666000,,278.0,278.0,,True,ULTRASOFT,12.0,True,Toro Rosso,0 days 00:25:48.983000,2018-03-25 05:32:00.164,1,16.0,False,,False,True
0 days 00:29:16.839000,GAS,10,,14.0,1.0,,0 days 00:29:16.873000,0 days 00:00:30.247000,0 days 00:00:24.226000,,0 days 00:27:49.934000,0 days 00:28:14.326000,,265.0,280.0,,280.0,False,ULTRASOFT,13.0,True,Toro Rosso,0 days 00:27:19.632000,2018-03-25 05:33:30.813,1,18.0,False,,False,False
0 days 00:08:50.522000,PER,11,0 days 00:01:42.341000,1.0,,,,,0 days 00:00:24.934000,0 days 00:00:37.810000,,0 days 00:08:13.372000,0 days 00:08:51.003000,265.0,299.0,289.0,220.0,False,nan,,True,Force India,0 days 00:07:07.988000,2018-03-25 05:13:19.169,,12.0,False,,False,False
0 days 00:10:23.418000,PER,11,0 days 00:01:32.896000,2.0,1.0,,,0 days 00:00:31.283000,0 days 00:00:24.566000,0 days 00:00:37.047000,0 days 00:09:21.798000,0 days 00:09:46.364000,0 days 00:10:23.411000,267.0,297.0,285.0,252.0,True,ULTRASOFT,1.0,True,Force India,0 days 00:08:50.522000,2018-03-25 05:15:01.703,,12.0,False,,False,False
0 days 00:11:55.422000,PER,11,0 days 00:01:32.004000,3.0,1.0,,,0 days 00:00:30.911000,0 days 00:00:24.442000,0 days 00:00:36.651000,0 days 00:10:54.322000,0 days 00:11:18.764000,0 days 00:11:55.415000,264.0,292.0,287.0,293.0,True,ULTRASOFT,2.0,True,Force India,0 days 00:10:23.418000,2018-03-25 05:16:34.599,,12.0,False,,False,False
0 days 00:13:26.794000,PER,11,0 days 00:01:31.372000,4.0,1.0,,,0 days 00:00:30.489000,0 days 00:00:24.420000,0 days 00:00:36.463000,0 days 00:12:25.904000,0 days 00:12:50.324000,0 days 00:13:26.787000,272.0,293.0,285.0,302.0,True,ULTRASOFT,3.0,True,Force India,0 days 00:11:55.422000,2018-03-25 05:18:06.603,,12.0,False,,False,False
0 days 00:14:57.954000,PER,11,0 days 00:01:31.160000,5.0,1.0,,,0 days 00:00:30.373000,0 days 00:00:24.324000,0 days 00:00:36.463000,0 days 00:13:57.160000,0 days 00:14:21.484000,0 days 00:14:57.947000,,294.0,284.0,301.0,True,ULTRASOFT,4.0,True,Force India,0 days 00:13:26.794000,2018-03-25 05:19:37.975,21,12.0,False,,False,True
0 days 00:16:29.512000,PER,11,0 days 00:01:31.558000,6.0,1.0,,,0 days 00:00:30.626000,0 days 00:00:24.310000,0 days 00:00:36.622000,0 days 00:15:28.573000,0 days 00:15:52.883000,0 days 00:16:29.505000,269.0,292.0,286.0,293.0,False,ULTRASOFT,5.0,True,Force India,0 days 00:14:57.954000,2018-03-25 05:21:09.135,2,12.0,False,,False,True
0 days 00:18:01.350000,PER,11,0 days 00:01:31.838000,7.0,1.0,,,0 days 00:00:30.627000,0 days 00:00:24.431000,0 days 00:00:36.780000,0 days 00:17:00.132000,0 days 00:17:24.563000,0 days 00:18:01.343000,273.0,292.0,286.0,,False,ULTRASOFT,6.0,True,Force India,0 days 00:16:29.512000,2018-03-25 05:22:40.693,21,12.0,False,,False,True
0 days 00:19:32.272000,PER,11,0 days 00:01:30.922000,8.0,1.0,,,0 days 00:00:30.448000,0 days 00:00:24.260000,0 days 00:00:36.214000,0 days 00:18:31.791000,0 days 00:18:56.051000,0 days 00:19:32.265000,,290.0,286.0,300.0,True,ULTRASOFT,7.0,True,Force India,0 days 00:18:01.350000,2018-03-25 05:24:12.531,1,12.0,False,,False,True
0 days 00:21:03.131000,PER,11,0 days 00:01:30.859000,9.0,1.0,,,0 days 00:00:30.266000,0 days 00:00:24.397000,0 days 00:00:36.196000,0 days 00:20:02.531000,0 days 00:20:26.928000,0 days 00:21:03.124000,271.0,291.0,286.0,301.0,True,ULTRASOFT,8.0,True,Force India,0 days 00:19:32.272000,2018-03-25 05:25:43.453,12,12.0,False,,False,True
0 days 00:22:34.053000,PER,11,0 days 00:01:30.922000,10.0,1.0,,,0 days 00:00:30.382000,0 days 00:00:24.312000,0 days 00:00:36.228000,0 days 00:21:33.506000,0 days 00:21:57.818000,0 days 00:22:34.046000,274.0,290.0,287.0,304.0,False,ULTRASOFT,9.0,True,Force India,0 days 00:21:03.131000,2018-03-25 05:27:14.312,1,12.0,False,,False,True
0 days 00:24:04.472000,PER,11,0 days 00:01:30.419000,11.0,1.0,,,0 days 00:00:30.029000,0 days 00:00:24.097000,0 days 00:00:36.293000,0 days 00:23:04.075000,0 days 00:23:28.172000,0 days 00:24:04.465000,273.0,293.0,285.0,302.0,True,ULTRASOFT,10.0,True,Force India,0 days 00:22:34.053000,2018-03-25 05:28:45.234,1,12.0,False,,False,True
0 days 00:25:35.348000,PER,11,0 days 00:01:30.876000,12.0,1.0,,,0 days 00:00:30.317000,0 days 00:00:24.274000,0 days 00:00:36.285000,0 days 00:24:34.782000,0 days 00:24:59.056000,0 days 00:25:35.341000,,292.0,286.0,301.0,False,ULTRASOFT,11.0,True,Force India,0 days 00:24:04.472000,2018-03-25 05:30:15.653,1,12.0,False,,False,True
0 days 00:27:05.908000,PER,11,0 days 00:01:30.560000,13.0,1.0,,,0 days 00:00:30.105000,0 days 00:00:24.208000,0 days 00:00:36.247000,0 days 00:26:05.446000,0 days 00:26:29.654000,0 days 00:27:05.901000,,294.0,287.0,303.0,False,ULTRASOFT,12.0,True,Force India,0 days 00:25:35.348000,2018-03-25 05:31:46.529,1,12.0,False,,False,True
0 days 00:28:36.461000,PER,11,0 days 00:01:30.553000,14.0,1.0,,,0 days 00:00:30.262000,0 days 00:00:24.081000,0 days 00:00:36.210000,0 days 00:27:36.163000,0 days 00:28:00.244000,0 days 00:28:36.454000,272.0,295.0,286.0,301.0,False,ULTRASOFT,13.0,True,Force India,0 days 00:27:05.908000,2018-03-25 05:33:17.089,1,12.0,False,,False,True
0 days 00:30:06.972000,PER,11,0 days 00:01:30.511000,15.0,1.0,,,0 days 00:00:30.162000,0 days 00:00:24.203000,0 days 00:00:36.146000,0 days 00:29:06.616000,0 days 00:29:30.819000,0 days 00:30:06.965000,273.0,291.0,284.0,,False,ULTRASOFT,14.0,True,Force India,0 days 00:28:36.461000,2018-03-25 05:34:47.642,1,12.0,False,,False,True
0 days 00:31:37.384000,PER,11,0 days 00:01:30.412000,16.0,1.0,,,0 days 00:00:30.191000,0 days 00:00:24.012000,0 days 00:00:36.209000,0 days 00:30:37.156000,0 days 00:31:01.168000,0 days 00:31:37.377000,271.0,294.0,285.0,,True,ULTRASOFT,15.0,True,Force India,0 days 00:30:06.972000,2018-03-25 05:36:18.153,1,12.0,False,,False,True
0 days 00:33:07.764000,PER,11,0 days 00:01:30.380000,17.0,1.0,,,0 days 00:00:30.333000,0 days 00:00:24.042000,0 days 00:00:36.005000,0 days 00:32:07.710000,0 days 00:32:31.752000,0 days 00:33:07.757000,272.0,293.0,285.0,300.0,True,ULTRASOFT,16.0,True,Force India,0 days 00:31:37.384000,2018-03-25 05:37:48.565,1,12.0,False,,False,True
0 days 00:34:38.044000,PER,11,0 days 00:01:30.280000,18.0,1.0,,,0 days 00:00:30.029000,0 days 00:00:24.273000,0 days 00:00:35.978000,0 days 00:33:37.786000,0 days 00:34:02.059000,0 days 00:34:38.037000,,288.0,283.0,301.0,True,ULTRASOFT,17.0,True,Force India,0 days 00:33:07.764000,2018-03-25 05:39:18.945,1,12.0,False,,False,True
0 days 00:36:08.697000,PER,11,0 days 00:01:30.653000,19.0,1.0,,,0 days 00:00:30.335000,0 days 00:00:24.228000,0 days 00:00:36.090000,0 days 00:35:08.372000,0 days 00:35:32.600000,0 days 00:36:08.690000,265.0,287.0,282.0,299.0,False,ULTRASOFT,18.0,True,Force India,0 days 00:34:38.044000,2018-03-25 05:40:49.225,1,12.0,False,,False,True
0 days 00:37:39.041000,PER,11,0 days 00:01:30.344000,20.0,1.0,,,0 days 00:00:30.141000,0 days 00:00:24.140000,0 days 00:00:36.063000,0 days 00:36:38.831000,0 days 00:37:02.971000,0 days 00:37:39.034000,264.0,289.0,282.0,296.0,False,ULTRASOFT,19.0,True,Force India,0 days 00:36:08.697000,2018-03-25 05:42:19.878,1,12.0,False,,False,True
0 days 00:39:09.706000,PER,11,0 days 00:01:30.665000,21.0,1.0,,,0 days 00:00:30.288000,0 days 00:00:24.137000,0 days 00:00:36.240000,0 days 00:38:09.322000,0 days 00:38:33.459000,0 days 00:39:09.699000,,289.0,282.0,297.0,False,ULTRASOFT,20.0,True,Force India,0 days 00:37:39.041000,2018-03-25 05:43:50.222,1,11.0,False,,False,True
0 days 00:40:40.960000,PER,11,0 days 00:01:31.254000,22.0,1.0,,,0 days 00:00:30.525000,0 days 00:00:24.406000,0 days 00:00:36.323000,0 days 00:39:40.224000,0 days 00:40:04.630000,0 days 00:40:40.953000,266.0,289.0,283.0,296.0,False,ULTRASOFT,21.0,True,Force India,0 days 00:39:09.706000,2018-03-25 05:45:20.887,1,10.0,False,,False,True
0 days 00:42:11.201000,PER,11,0 days 00:01:30.241000,23.0,1.0,,,0 days 00:00:30.104000,0 days 00:00:24.188000,0 days 00:00:35.949000,0 days 00:41:11.057000,0 days 00:41:35.245000,0 days 00:42:11.194000,270.0,289.0,281.0,,True,ULTRASOFT,22.0,True,Force India,0 days 00:40:40.960000,2018-03-25 05:46:52.141,12,9.0,False,,False,True
0 days 00:44:00.076000,PER,11,0 days 00:01:48.875000,24.0,1.0,,0 days 00:43:40.427000,0 days 00:00:30.198000,0 days 00:00:24.283000,0 days 00:00:54.394000,0 days 00:42:41.392000,0 days 00:43:05.675000,0 days 00:44:00.069000,264.0,291.0,,295.0,False,ULTRASOFT,23.0,True,Force India,0 days 00:42:11.201000,2018-03-25 05:48:22.382,21,13.0,False,,False,False
0 days 00:45:50.473000,PER,11,0 days 00:01:50.397000,25.0,2.0,0 days 00:44:03.316000,,0 days 00:00:35.459000,0 days 00:00:23.589000,0 days 00:00:51.349000,0 days 00:44:35.528000,0 days 00:44:59.117000,0 days 00:45:50.466000,268.0,291.0,209.0,225.0,False,SOFT,1.0,True,Force India,0 days 00:44:00.076000,2018-03-25 05:50:11.257,126,11.0,False,,False,False
0 days 00:47:54.132000,PER,11,0 days 00:02:03.659000,26.0,2.0,,,0 days 00:00:41.792000,0 days 00:00:32.622000,0 days 00:00:49.245000,0 days 00:46:32.258000,0 days 00:47:04.880000,0 days 00:47:54.125000,223.0,273.0,249.0,235.0,False,SOFT,2.0,True,Force India,0 days 00:45:50.473000,2018-03-25 05:52:01.654,6,11.0,False,,False,False
0 days 00:49:58.356000,PER,11,0 days 00:02:04.224000,27.0,2.0,,,0 days 00:00:43.403000,0 days 00:00:29.321000,0 days 00:00:51.500000,0 days 00:48:37.528000,0 days 00:49:06.849000,0 days 00:49:58.349000,166.0,151.0,206.0,250.0,False,SOFT,3.0,True,Force India,0 days 00:47:54.132000,2018-03-25 05:54:05.313,64,11.0,False,,False,False
0 days 00:52:00.128000,PER,11,0 days 00:02:01.772000,28.0,2.0,,,0 days 00:00:42.476000,0 days 00:00:29.871000,0 days 00:00:49.425000,0 days 00:50:40.825000,0 days 00:51:10.696000,0 days 00:52:00.121000,247.0,264.0,256.0,233.0,False,SOFT,4.0,True,Force India,0 days 00:49:58.356000,2018-03-25 05:56:09.537,4,11.0,False,,False,False
0 days 00:53:39.131000,PER,11,0 days 00:01:39.003000,29.0,2.0,,,0 days 00:00:34.639000,0 days 00:00:26.603000,0 days 00:00:37.761000,0 days 00:52:34.760000,0 days 00:53:01.363000,0 days 00:53:39.124000,250.0,285.0,272.0,268.0,False,SOFT,5.0,True,Force India,0 days 00:52:00.128000,2018-03-25 05:58:11.309,4,11.0,False,,False,False
0 days 00:55:29.486000,PER,11,0 days 00:01:50.355000,30.0,2.0,,,0 days 00:00:31.272000,0 days 00:00:28.974000,0 days 00:00:50.109000,0 days 00:54:10.396000,0 days 00:54:39.370000,0 days 00:55:29.479000,264.0,289.0,167.0,288.0,False,SOFT,6.0,True,Force India,0 days 00:53:39.131000,2018-03-25 05:59:50.312,4,11.0,False,,False,False
0 days 00:57:34.264000,PER,11,0 days 00:02:04.778000,31.0,2.0,,,0 days 00:00:41.878000,0 days 00:00:35.139000,0 days 00:00:47.761000,0 days 00:56:11.357000,0 days 00:56:46.496000,0 days 00:57:34.257000,106.0,174.0,291.0,240.0,False,SOFT,7.0,True,Force India,0 days 00:55:29.486000,2018-03-25 06:01:40.667,41,11.0,False,,False,False
0 days 00:59:06.566000,PER,11,0 days 00:01:32.302000,32.0,2.0,,,0 days 00:00:31.567000,0 days 00:00:24.423000,0 days 00:00:36.312000,0 days 00:58:05.824000,0 days 00:58:30.247000,0 days 00:59:06.559000,272.0,304.0,288.0,279.0,False,SOFT,8.0,True,Force India,0 days 00:57:34.264000,2018-03-25 06:03:45.445,1,11.0,False,,False,True
0 days 01:00:36.758000,PER,11,0 days 00:01:30.192000,33.0,2.0,,,0 days 00:00:30.278000,0 days 00:00:24.085000,0 days 00:00:35.829000,0 days 00:59:36.837000,0 days 01:00:00.922000,0 days 01:00:36.751000,274.0,300.0,288.0,290.0,True,SOFT,9.0,True,Force India,0 days 00:59:06.566000,2018-03-25 06:05:17.747,1,11.0,False,,False,True
0 days 01:02:07.159000,PER,11,0 days 00:01:30.401000,34.0,2.0,,,0 days 00:00:30.302000,0 days 00:00:23.832000,0 days 00:00:36.267000,0 days 01:01:07.053000,0 days 01:01:30.885000,0 days 01:02:07.152000,276.0,299.0,285.0,297.0,False,SOFT,10.0,True,Force India,0 days 01:00:36.758000,2018-03-25 06:06:47.939,1,11.0,False,,False,True
0 days 01:03:36.580000,PER,11,0 days 00:01:29.421000,35.0,2.0,,,0 days 00:00:29.952000,0 days 00:00:23.864000,0 days 00:00:35.605000,0 days 01:02:37.104000,0 days 01:03:00.968000,0 days 01:03:36.573000,274.0,298.0,288.0,300.0,True,SOFT,11.0,True,Force India,0 days 01:02:07.159000,2018-03-25 06:08:18.340,1,11.0,False,,False,True
0 days 01:05:05.298000,PER,11,0 days 00:01:28.718000,36.0,2.0,,,0 days 00:00:29.605000,0 days 00:00:23.765000,0 days 00:00:35.348000,0 days 01:04:06.178000,0 days 01:04:29.943000,0 days 01:05:05.291000,,298.0,286.0,,True,SOFT,12.0,True,Force India,0 days 01:03:36.580000,2018-03-25 06:09:47.761,1,11.0,False,,False,True
0 days 01:06:34.423000,PER,11,0 days 00:01:29.125000,37.0,2.0,,,0 days 00:00:29.820000,0 days 00:00:23.773000,0 days 00:00:35.532000,0 days 01:05:35.111000,0 days 01:05:58.884000,0 days 01:06:34.416000,276.0,297.0,286.0,299.0,False,SOFT,13.0,True,Force India,0 days 01:05:05.298000,2018-03-25 06:11:16.479,1,11.0,False,,False,True
0 days 01:08:02.932000,PER,11,0 days 00:01:28.509000,38.0,2.0,,,0 days 00:00:29.413000,0 days 00:00:23.746000,0 days 00:00:35.350000,0 days 01:07:03.829000,0 days 01:07:27.575000,0 days 01:08:02.925000,275.0,298.0,287.0,301.0,True,SOFT,14.0,True,Force India,0 days 01:06:34.423000,2018-03-25 06:12:45.604,1,11.0,False,,False,True
0 days 01:09:31.285000,PER,11,0 days 00:01:28.353000,39.0,2.0,,,0 days 00:00:29.524000,0 days 00:00:23.621000,0 days 00:00:35.208000,0 days 01:08:32.449000,0 days 01:08:56.070000,0 days 01:09:31.278000,277.0,298.0,285.0,302.0,True,SOFT,15.0,True,Force India,0 days 01:08:02.932000,2018-03-25 06:14:14.113,1,11.0,False,,False,True
0 days 01:11:00.083000,PER,11,0 days 00:01:28.798000,40.0,2.0,,,0 days 00:00:29.641000,0 days 00:00:23.708000,0 days 00:00:35.449000,0 days 01:10:00.919000,0 days 01:10:24.627000,0 days 01:11:00.076000,275.0,296.0,284.0,301.0,False,SOFT,16.0,True,Force India,0 days 01:09:31.285000,2018-03-25 06:15:42.466,1,11.0,False,,False,True
0 days 01:12:28.369000,PER,11,0 days 00:01:28.286000,41.0,2.0,,,0 days 00:00:29.461000,0 days 00:00:23.687000,0 days 00:00:35.138000,0 days 01:11:29.537000,0 days 01:11:53.224000,0 days 01:12:28.362000,,298.0,286.0,297.0,True,SOFT,17.0,True,Force India,0 days 01:11:00.083000,2018-03-25 06:17:11.264,1,11.0,False,,False,True
0 days 01:13:56.367000,PER,11,0 days 00:01:27.998000,42.0,2.0,,,0 days 00:00:29.317000,0 days 00:00:23.557000,0 days 00:00:35.124000,0 days 01:12:57.679000,0 days 01:13:21.236000,0 days 01:13:56.360000,276.0,298.0,286.0,300.0,True,SOFT,18.0,True,Force India,0 days 01:12:28.369000,2018-03-25 06:18:39.550,1,11.0,False,,False,True
0 days 01:15:24.536000,PER,11,0 days 00:01:28.169000,43.0,2.0,,,0 days 00:00:29.301000,0 days 00:00:23.775000,0 days 00:00:35.093000,0 days 01:14:25.661000,0 days 01:14:49.436000,0 days 01:15:24.529000,278.0,298.0,286.0,302.0,False,SOFT,19.0,True,Force India,0 days 01:13:56.367000,2018-03-25 06:20:07.548,1,11.0,False,,False,True
0 days 01:16:52.819000,PER,11,0 days 00:01:28.283000,44.0,2.0,,,0 days 00:00:29.460000,0 days 00:00:23.645000,0 days 00:00:35.178000,0 days 01:15:53.989000,0 days 01:16:17.634000,0 days 01:16:52.812000,276.0,301.0,287.0,300.0,False,SOFT,20.0,True,Force India,0 days 01:15:24.536000,2018-03-25 06:21:35.717,1,11.0,False,,False,True
0 days 01:18:21.258000,PER,11,0 days 00:01:28.439000,45.0,2.0,,,0 days 00:00:29.391000,0 days 00:00:23.692000,0 days 00:00:35.356000,0 days 01:17:22.203000,0 days 01:17:45.895000,0 days 01:18:21.251000,,298.0,285.0,303.0,False,SOFT,21.0,True,Force India,0 days 01:16:52.819000,2018-03-25 06:23:04.000,1,11.0,False,,False,True
0 days 01:19:49.612000,PER,11,0 days 00:01:28.354000,46.0,2.0,,,0 days 00:00:29.356000,0 days 00:00:23.643000,0 days 00:00:35.355000,0 days 01:18:50.607000,0 days 01:19:14.250000,0 days 01:19:49.605000,275.0,299.0,285.0,299.0,False,SOFT,22.0,True,Force India,0 days 01:18:21.258000,2018-03-25 06:24:32.439,1,11.0,False,,False,True
0 days 01:21:17.894000,PER,11,0 days 00:01:28.282000,47.0,2.0,,,0 days 00:00:29.326000,0 days 00:00:23.676000,0 days 00:00:35.280000,0 days 01:20:18.931000,0 days 01:20:42.607000,0 days 01:21:17.887000,280.0,298.0,286.0,301.0,False,SOFT,23.0,True,Force India,0 days 01:19:49.612000,2018-03-25 06:26:00.793,1,11.0,False,,False,True
0 days 01:22:45.920000,PER,11,0 days 00:01:28.026000,48.0,2.0,,,0 days 00:00:29.483000,0 days 00:00:23.565000,0 days 00:00:34.978000,0 days 01:21:47.370000,0 days 01:22:10.935000,0 days 01:22:45.913000,278.0,299.0,289.0,302.0,False,SOFT,24.0,True,Force India,0 days 01:21:17.894000,2018-03-25 06:27:29.075,1,11.0,False,,False,True
0 days 01:24:13.926000,PER,11,0 days 00:01:28.006000,49.0,2.0,,,0 days 00:00:29.198000,0 days 00:00:23.587000,0 days 00:00:35.221000,0 days 01:23:15.111000,0 days 01:23:38.698000,0 days 01:24:13.919000,,298.0,289.0,,False,SOFT,25.0,True,Force India,0 days 01:22:45.920000,2018-03-25 06:28:57.101,1,11.0,False,,False,True
0 days 01:25:42.005000,PER,11,0 days 00:01:28.079000,50.0,2.0,,,0 days 00:00:29.354000,0 days 00:00:23.617000,0 days 00:00:35.108000,0 days 01:24:43.273000,0 days 01:25:06.890000,0 days 01:25:41.998000,,298.0,287.0,304.0,False,SOFT,26.0,True,Force India,0 days 01:24:13.926000,2018-03-25 06:30:25.107,1,11.0,False,,False,True
0 days 01:27:09.638000,PER,11,0 days 00:01:27.633000,51.0,2.0,,,0 days 00:00:29.174000,0 days 00:00:23.582000,0 days 00:00:34.877000,0 days 01:26:11.172000,0 days 01:26:34.754000,0 days 01:27:09.631000,279.0,300.0,299.0,302.0,True,SOFT,27.0,True,Force India,0 days 01:25:42.005000,2018-03-25 06:31:53.186,1,11.0,False,,False,True
0 days 01:28:38.115000,PER,11,0 days 00:01:28.477000,52.0,2.0,,,0 days 00:00:29.543000,0 days 00:00:23.808000,0 days 00:00:35.126000,0 days 01:27:39.174000,0 days 01:28:02.982000,0 days 01:28:38.108000,276.0,300.0,298.0,316.0,False,SOFT,28.0,True,Force India,0 days 01:27:09.638000,2018-03-25 06:33:20.819,1,11.0,False,,False,True
0 days 01:30:06.496000,PER,11,0 days 00:01:28.381000,53.0,2.0,,,0 days 00:00:29.559000,0 days 00:00:23.793000,0 days 00:00:35.029000,0 days 01:29:07.667000,0 days 01:29:31.460000,0 days 01:30:06.489000,278.0,302.0,302.0,313.0,False,SOFT,29.0,True,Force India,0 days 01:28:38.115000,2018-03-25 06:34:49.296,1,11.0,False,,False,True
0 days 01:31:34.589000,PER,11,0 days 00:01:28.093000,54.0,2.0,,,0 days 00:00:29.534000,0 days 00:00:23.639000,0 days 00:00:34.920000,0 days 01:30:36.023000,0 days 01:30:59.662000,0 days 01:31:34.582000,277.0,301.0,300.0,319.0,False,SOFT,30.0,True,Force India,0 days 01:30:06.496000,2018-03-25 06:36:17.677,1,11.0,False,,False,True
0 days 01:33:02.873000,PER,11,0 days 00:01:28.284000,55.0,2.0,,,0 days 00:00:29.559000,0 days 00:00:23.605000,0 days 00:00:35.120000,0 days 01:32:04.141000,0 days 01:32:27.746000,0 days 01:33:02.866000,274.0,301.0,301.0,313.0,False,SOFT,31.0,True,Force India,0 days 01:31:34.589000,2018-03-25 06:37:45.770,1,11.0,False,,False,True
0 days 01:34:31.211000,PER,11,0 days 00:01:28.338000,56.0,2.0,,,0 days 00:00:29.596000,0 days 00:00:23.811000,0 days 00:00:34.931000,0 days 01:33:32.462000,0 days 01:33:56.273000,0 days 01:34:31.204000,277.0,300.0,300.0,,False,SOFT,32.0,True,Force India,0 days 01:33:02.873000,2018-03-25 06:39:14.054,1,11.0,False,,False,True
